Date,Open,High,Low,Close,Adj Close,Volume
3/20/2024,148.789993,149.759995,147.664993,149.679993,149.679993,9917730000
3/21/2024,150.320007,151.304993,148.009995,148.740005,148.740005,9919843900
3/22/2024,150.240005,152.559998,150.089996,151.770004,151.770004,9809226300
3/25/2024,150.949997,151.455994,148.800003,151.149994,151.149994,9915114700
3/26/2024,151.240005,153.199997,151.029999,151.699997,151.699997,9919312700
3/27/2024,152.145004,152.690002,150.130005,151.940002,151.940002,9916622000
3/28/2024,152,152.669998,151.330002,152.259995,152.259995,921105600
4/24/2024,152.145004,152.690002,150.130005,151.940002,151.940002,916622000
5/5/2024,158.339996,161.699997,158.600006,400.404999,159.190002,988888880
5/6/2024,160.279999,160.830002,156.149994,440.404999,156.330002,988888880
5/7/2024,160.279999,157.229996,155.050003,555.300,156,88888880
6/7/2024,145.233024,152.4460783,150.3957844,400.639999,158.70287,88888880
6/24/2024,158.339996,161.699997,158.600006,500.404999,159.190002,88888880
6/25/2024,160.279999,160.830002,156.149994,600.330002,156.330002,88888880
6/26/2024,160.279999,157.229996,155.050003,900.639999,156,88888880
7/20/2024,148.5510177,154.0593011,151.7820998,450.639999,158.1653676,88888880
7/21/2024,148.0770186,153.8288407,151.5840547,490.3207189,158.2421537,88888880
7/27/2024,145.233024,152.4460783,150.3957844,600.639999,158.70287,88888880
8/13/2024,158.339996,161.699997,158.600006,500,159.190002,88888880
8/15/2024,160.279999,157.229996,155.050003,550,156,88888880
9/8/2024,148.5510177,154.0593011,151.7820998,600,158.1653676,988888880
9/15/2024,145.233024,152.4460783,150.3957844,450,158.70287,988888880
